Tg,Tx,Tl,Rc,Dmax,Phase
352,421,710,NAN,5,MMG
341,412,733,NAN,3,MMG
359,377,714,NAN,3,MMG
345,421,721,NAN,8,MMG
339,414,721,NAN,8,MMG
337,419,716,NAN,10,MMG
341,408,722,NAN,2,MMG
NAN,NAN,NAN,445,NAN,MMG
359,377,714,NAN,NAN,MMG
366,409,NAN,NAN,NAN,MMG
362,419,NAN,NAN,NAN,MMG
NAN,NAN,NAN,NAN,NAN,MMG
NAN,NAN,NAN,NAN,NAN,MMG
NAN,NAN,NAN,350000,NAN,MMG
NAN,NAN,NAN,NAN,NAN,MMG
856,887,1567,NAN,1,MMG
844,885,1570,NAN,1,MMG
834,886,1569,NAN,2,MMG
869,916,1548,NAN,1.5,MMG
883.0,1079,1467,NAN,NAN,CMA
878.0,1074,1468,NAN,NAN,CMA
853.0,1023,1439,NAN,NAN,CMA
847.0,987,1399,NAN,NAN,CMA
847.0,1016,1439,NAN,NAN,CMA
839.0,1006,1439,NAN,NAN,CMA
910,982,1526,NAN,NAN,MMG
910,982,1526,NAN,2,MMG
819,895,1417,NAN,2,MMG
819,895,1417,NAN,NAN,MMG
898.0,1098,1467,NAN,NAN,CMA
848,933,1394,NAN,10,MMG
872.0,1043,1436,NAN,NAN,CMA
872.0,1043,1436,NAN,NAN,CMA
865.0,1035,1436,NAN,NAN,CMA
849.0,1018,1439,NAN,NAN,CMA
828.0,972,1408,NAN,NAN,CMA
838.0,914,1310,NAN,NAN,CMA
882.0,1078,1466,NAN,NAN,CMA
883.0,1079,1467,NAN,NAN,CMA
872.0,1043,1436,NAN,NAN,CMA
893.0,1092,1466,NAN,NAN,CMA
867.0,1034,1432,NAN,NAN,CMA
803,843,1457,NAN,2,MMG
868.0,1040,1438,NAN,NAN,CMA
813.0,904,1335,NAN,NAN,CMA
839.0,1006,1439,NAN,NAN,CMA
847.0,987,1399,NAN,NAN,CMA
813,853,1445,NAN,2.5,MMG
823,865,1418,NAN,4,MMG
820,860,1430,NAN,3.5,MMG
874.0,1047,1438,NAN,NAN,CMA
870.0,1067,1472,NAN,NAN,CMA
887.0,1085,1468,NAN,NAN,CMA
865.0,1058,1468,NAN,NAN,CMA
858.0,991,1385,NAN,NAN,CMA
890.0,1091,1470,NAN,NAN,CMA
894.0,1094,1468,NAN,NAN,CMA
861.0,963,1342,NAN,NAN,CMA
793.0,878,1330,NAN,NAN,CMA
811,856,1379,NAN,NAN,MMG
890.0,1090,1469,NAN,NAN,CMA
800.83,838.28,NAN,NAN,NAN,MMG
843.6,900.01,NAN,NAN,NAN,MMG
830.0,987,1426,NAN,NAN,CMA
870.0,1040,1434,NAN,NAN,CMA
846.0,993,1409,NAN,NAN,CMA
829.0,973,1408,NAN,NAN,CMA
881.0,1077,1468,NAN,NAN,CMA
872.0,1043,1436,NAN,NAN,CMA
885.0,1083,1468,NAN,NAN,CMA
871.0,1043,1436,NAN,NAN,CMA
872.0,1046,1439,NAN,NAN,CMA
872.0,1044,1436,NAN,NAN,CMA
881.0,1079,1470,NAN,NAN,CMA
