Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Al16.67Co16.67Cu16.67Fe16.67Ni16.67V16.67,CMA,785.0,833.0,1273.0,NAN,NAN
Al16.67Co16.67Cr16.67Cu16.67Ni16.67Ti16.67,CMA,781.0,835.0,1282.0,NAN,NAN
Al16.1Co16.1Cr16.1Cu16.1Fe16.1Ni16.1Mo3.2,CMA,800.0,843.0,1264.0,NAN,NAN
Al23.5Cr23.5Fe23.5Mn23.5Ti5.9,CMA,787.0,841.0,1282.0,NAN,NAN
Al15.38Co15.38Cr15.38Fe30.77Mo7.69Ni15.38,CMA,844.0,972.0,1381.0,NAN,NAN
Al10Co20Cr20Fe20Mo10Ni20,CMA,903.0,1110.0,1475.0,NAN,NAN
Al15Co25Fe25Ni25Ti10,CMA,778.0,820.0,1264.0,NAN,NAN
Al10Co20Cr20Fe20Mo10Ni20,CMA,903.0,1110.0,1475.0,NAN,NAN
Al17.95Co20.51Cr20.51Fe20.51Ni20.51,CMA,800.0,846.0,1270.0,NAN,NAN
Al18Co20.5Cr20.5Fe20.5Ni20.5,CMA,800.0,846.0,1270.0,NAN,NAN
Al18Cr21Fe20Co20Ni21,CMA,800.0,846.0,1270.0,NAN,NAN
Al18.2Co18.2Cr18.2Fe18.2Ni18.2V9.1,CMA,797.0,841.0,1266.0,NAN,NAN
Al16.1Co16.1Cr16.1Cu16.1Fe16.1Ni19.4,CMA,801.0,843.0,1263.0,NAN,NAN
Al16.7Co16.7Cr16.7Cu8.3Fe16.7Ni25,CMA,808.0,857.0,1273.0,NAN,NAN
Al18.4Co20.4Cr20.4Fe20.4Ni20.4,CMA,799.0,845.0,1270.0,NAN,NAN
Al16.7Co33.3Cu16.7Fe16.7Ni16.7,CMA,791.0,879.0,1333.0,NAN,NAN
Al16.67Co16.67Cr16.67Cu16.67Fe16.67Ni16.67,CMA,801.0,843.0,1263.0,NAN,NAN
Al16.7Co16.7Cr16.7Cu16.7Fe16.7Ni16.7,CMA,801.0,843.0,1263.0,NAN,NAN
Al16.7Cr20.8Cu20.8Fe20.8Ni20.8,CMA,797.0,830.0,1250.0,NAN,NAN
Al17.5Co25.0Fe25.0Ni25.0Cr7.5,CMA,808.0,862.0,1280.0,NAN,NAN
Al18.2Co18.2Cr18.2Cu9.1Fe18.2Ni18.2,CMA,795.0,834.0,1259.0,NAN,NAN
Al18.18Co18.18Cr18.18Fe18.18Ni18.18Ti9.09,CMA,792.0,825.0,1249.0,NAN,NAN
Al20Cr20Fe20Mn20Ni20,CMA,796.0,839.0,1264.0,NAN,NAN
Al16.7Cr16.7Cu16.7Fe16.7Ni33.3,CMA,804.0,846.0,1263.0,NAN,NAN
Al16.67Cr16.67Cu16.67Fe16.67Ni16.67Ti16.67,CMA,777.0,830.0,1282.0,NAN,NAN
Al16.67Cr16.67Cu16.67Fe16.67Ni33.33,CMA,804.0,846.0,1263.0,NAN,NAN
Al19.2Co19.2Cr19.2Fe19.2Ni19.2V3.8,CMA,795.0,832.0,1256.0,NAN,NAN
Al20Co10Cr10Fe10Mn20Ni20V10,CMA,775.0,818.0,1267.0,NAN,NAN
Al18.2Co18.2Cr18.2Cu18.2Fe18.2Ni9.1,CMA,795.0,829.0,1250.0,NAN,NAN
Al20Co20Cr20Fe20Ni20,CMA,794.0,832.0,1258.0,NAN,NAN
Al19.23Cr19.23Cu19.23Fe19.23Ni23.08,CMA,789.0,823.0,1251.0,NAN,NAN
Al19.2Cr19.2Cu19.2Fe19.2Ni23.1,CMA,789.0,823.0,1251.0,NAN,NAN
Al20Co20Cr20Cu10Fe10Ni20,CMA,792.0,826.0,1250.0,NAN,NAN
Al20Co20Cr20Fe20Ni20,CMA,794.0,832.0,1258.0,NAN,NAN
Al18.2Co18.2Cr18.2Cu18.2Fe9.1Ni18.2,CMA,803.0,836.0,1250.0,NAN,NAN
Al19.61Co19.61Cr19.61Fe19.61Nb1.96Ni19.61,CMA,796.0,840.0,1266.0,NAN,NAN
Al18.5Cr18.5Cu18.5Fe18.5Ni25.9,CMA,791.0,825.0,1252.0,NAN,NAN
Al19.6Co19.6Cr19.6Fe19.6Nb2.0Ni19.6,CMA,796.0,840.0,1266.0,NAN,NAN
Al19.61Co19.61Cr19.61Fe19.61Mo1.96Ni19.61,CMA,798.0,842.0,1266.0,NAN,NAN
Al18.2Co18.2Cr9.1Cu18.2Fe18.2Ni18.2,CMA,787.0,827.0,1260.0,NAN,NAN
Al18.2Co27.3Cu18.2Fe18.2Ni18.2,CMA,796.0,859.0,1296.0,NAN,NAN
Al19.6Co19.6Cr19.6Fe19.6Mo2.0Ni19.6,CMA,798.0,842.0,1266.0,NAN,NAN
