"Alloys","Phase","Tg","Tx","Tl","Rc_mm/s","Dmax_mm"
"Al6.67Co13.33Cr13.33Cu13.33Fe13.33Ni13.33Ti26.67","CMA",786,826,1263,"NAN","NAN"
"Al6.85Co13.70Cr13.70Cu13.70Fe13.70Ni13.70Ti24.66","CMA",781,817,1257,"NAN","NAN"
"Al7.25Co14.49Cr14.49Cu14.49Fe14.49Ni14.49Ti20.29","CMA",778,805,1241,"NAN","NAN"
"Al7.04Co14.08Cr14.08Cu14.08Fe14.08Ni14.08Ti22.54","CMA",781,814,1252,"NAN","NAN"
"Al10.9Co21.7Cr21.7Fe21.7Mo2.2Ni21.7","CMA",841,1009,1439,"NAN","NAN"
"Al11.11Co22.22Cr22.22Cu22.22Fe22.22","CMA",812,881,1302,"NAN","NAN"
"Al12.7Cr15.9Cu15.9Fe15.9Mn23.8Ni15.9","CMA",799,840,1262,"NAN","NAN"
"Al12.7Cr15.9Cu15.9Fe23.8Mn15.9Ni15.9","CMA",808,847,1257,"NAN","NAN"
"Al7.0Co14.1Cr14.1Cu14.1Fe14.1Ni14.1Ti22.5","CMA",781,814,1252,"NAN","NAN"
"Al13.94Co17.21Cr17.21Fe17.21Mn17.21Ni17.21","CMA",800,840,1260,"NAN","NAN"
"Al12.5Co25.0Fe25.0Ni25.0Cr12.5","CMA",829,975,1412,"NAN","NAN"
"Al11.1Ti11.1Co11.1Cr11.1Fe11.1Ni11.1Cu11.1V11.1Mn11.2","CMA",778,817,1260,"NAN","NAN"
"Al10.71Cr17.86Cu17.86Fe17.86Ni35.71","CMA",812,918,1357,"NAN","NAN"
"Al13.0Cr23.5Fe20.0Co20.0Ni23.5","CMA",820,896,1312,"NAN","NAN"
"Al13.79Cr17.24Cr17.24Cu17.24Mn17.24Ni17.24","CMA",796,837,1261,"NAN","NAN"
"Al7.94Cr15.87Cr15.87Cu15.87Co15.87Cu15.87Ti12.70","CMA",804,837,1250,"NAN","NAN"
"Al12.5Co43.8Cr12.5Cu6.3Fe12.5Ni12.5","CMA",821,925,1352,"NAN","NAN"
"Al9.1Co15.2Cr15.2Cu15.2Fe15.2Ni15.2Ti15.2","CMA",787,813,1240,"NAN","NAN"
"Al11.1Cr22.2Cu22.2Fe22.2Ni22.2","CMA",811,902,1335,"NAN","NAN"
"Al10.6Co21.3Cr21.3Fe21.3Mo4.3Ni21.3","CMA",847,1016,1436,"NAN","NAN"
"Al12.7Cr15.9Cu23.8Fe15.9Mn15.9Ni15.9","CMA",806,849,1265,"NAN","NAN"
"Al14.97Co17.01Cr17.01Fe17.01Mn17.01Ni17.01","CMA",797,833,1253,"NAN","NAN"
"Al13.8Cr17.2Cu17.2Fe17.2Mn17.2Ni17.2","CMA",804,843,1258,"NAN","NAN"
"Al13.3Co40.0Cr13.3Cu6.7Fe13.3Ni13.3","CMA",820,922,1350,"NAN","NAN"
"Al11.11Co22.22Cr22.22Cu22.22Ni22.22","CMA",813,904,1333,"NAN","NAN"
"Al14.29Co28.57Fe28.57Ni28.57","CMA",824,961,1399,"NAN","NAN"
